"filename", "language", "TypeScript React", "comment", "blank", "total"
"h:\TodoTest\src\components\AsyncStorage.tsx", "TypeScript React", 11, 1, 3, 15
"h:\TodoTest\src\components\InputModal.tsx", "TypeScript React", 88, 0, 9, 97
"h:\TodoTest\src\components\ToDoForm.tsx", "TypeScript React", 44, 2, 7, 53
"h:\TodoTest\src\context\ToDoContext.tsx", "TypeScript React", 50, 0, 5, 55
"h:\TodoTest\src\context\createDataContext.tsx", "TypeScript React", 17, 1, 6, 24
"h:\TodoTest\src\screens\CreateScreen.tsx", "TypeScript React", 20, 4, 7, 31
"h:\TodoTest\src\screens\EditScreen.tsx", "TypeScript React", 27, 0, 7, 34
"h:\TodoTest\src\screens\IndexScreen.tsx", "TypeScript React", 133, 30, 11, 174
"h:\TodoTest\src\screens\ShowScreen.tsx", "TypeScript React", 24, 13, 10, 47
"h:\TodoTest\src\styles\AppStyles.tsx", "TypeScript React", 0, 142, 20, 162
"Total", "-", 414, 193, 85, 692